plan_id,mode,amplitude_m,pavage,n_pieces,valide_avant,valide_apres,deplacement_max_m,temps_ms,statut,seed
f018226b3c45b2499741cfa0408c9ff8,aplatir,0.1,True,11,False,True,0.100000,7.230,ok,4121674676
f018226b3c45b2499741cfa0408c9ff8,aplatir,0.25,False,11,False,False,,5.355,invariant_viole,1352809480
f018226b3c45b2499741cfa0408c9ff8,aplatir,0.25,True,11,False,True,0.250000,8.831,ok,1352809480
f018226b3c45b2499741cfa0408c9ff8,aplatir,0.5,False,11,False,False,,5.364,invariant_viole,917933670
f018226b3c45b2499741cfa0408c9ff8,aplatir,0.5,True,11,False,True,0.500000,7.422,ok,917933670
f018226b3c45b2499741cfa0408c9ff8,aplatir,1.0,False,11,False,False,,5.667,invariant_viole,3251708622
f018226b3c45b2499741cfa0408c9ff8,aplatir,1.0,True,11,False,False,,8.172,infaisable,3251708622
20917a5d24ce60081db23b3ebd20be19,deplacer,0.1,False,9,False,True,0.100000,7.468,ok,3770069012
20917a5d24ce60081db23b3ebd20be19,deplacer,0.1,True,9,False,True,0.100000,6.158,ok,3770069012
20917a5d24ce60081db23b3ebd20be19,deplacer,0.25,False,9,False,True,0.250000,7.143,ok,1368284833
20917a5d24ce60081db23b3ebd20be19,deplacer,0.25,True,9,False,True,0.250000,5.629,ok,1368284833
20917a5d24ce60081db23b3ebd20be19,deplacer,0.5,False,9,False,False,,4.805,invariant_viole,3944732254
20917a5d24ce60081db23b3ebd20be19,deplacer,0.5,True,9,False,False,,6.692,infaisable,3944732254
20917a5d24ce60081db23b3ebd20be19,deplacer,1.0,False,9,False,False,,4.941,invariant_viole,1718908675
20917a5d24ce60081db23b3ebd20be19,deplacer,1.0,True,9,False,True,1.094417,5.593,ok,1718908675
20917a5d24ce60081db23b3ebd20be19,elargir,0.1,False,9,False,False,,5.094,invariant_viole,2201006864
20917a5d24ce60081db23b3ebd20be19,elargir,0.1,True,9,False,False,,6.382,infaisable,2201006864
20917a5d24ce60081db23b3ebd20be19,elargir,0.25,False,9,False,False,,5.041,invariant_viole,1030372499
20917a5d24ce60081db23b3ebd20be19,elargir,0.25,True,9,False,False,,6.798,infaisable,1030372499
20917a5d24ce60081db23b3ebd20be19,elargir,0.5,False,9,False,False,,4.865,invariant_viole,2094518125
20917a5d24ce60081db23b3ebd20be19,elargir,0.5,True,9,False,True,1.094417,6.476,ok,2094518125
20917a5d24ce60081db23b3ebd20be19,elargir,1.0,False,9,False,False,,6.140,invariant_viole,4046642394
20917a5d24ce60081db23b3ebd20be19,elargir,1.0,True,9,False,False,,8.885,infaisable,4046642394
20917a5d24ce60081db23b3ebd20be19,retrecir,0.1,False,9,False,False,,5.153,invariant_viole,3810235419
20917a5d24ce60081db23b3ebd20be19,retrecir,0.1,True,9,False,True,0.100000,6.173,ok,3810235419
20917a5d24ce60081db23b3ebd20be19,retrecir,0.25,False,9,False,False,,4.849,invariant_viole,2335032613
20917a5d24ce60081db23b3ebd20be19,retrecir,0.25,True,9,False,True,0.250000,5.430,ok,2335032613
20917a5d24ce60081db23b3ebd20be19,retrecir,0.5,False,9,False,False,,5.158,invariant_viole,3959256366
20917a5d24ce60081db23b3ebd20be19,retrecir,0.5,True,9,False,True,0.500000,5.450,ok,3959256366
20917a5d24ce60081db23b3ebd20be19,retrecir,1.0,False,9,False,False,,4.994,invariant_viole,679146264
20917a5d24ce60081db23b3ebd20be19,retrecir,1.0,True,9,False,True,1.000000,5.358,ok,679146264
20917a5d24ce60081db23b3ebd20be19,aplatir,0.1,False,9,False,False,,4.800,invariant_viole,1346909901
20917a5d24ce60081db23b3ebd20be19,aplatir,0.1,True,9,False,True,0.100000,5.624,ok,1346909901
20917a5d24ce60081db23b3ebd20be19,aplatir,0.25,False,9,False,False,,4.847,invariant_viole,3588241139
20917a5d24ce60081db23b3ebd20be19,aplatir,0.25,True,9,False,True,0.250000,5.770,ok,3588241139
20917a5d24ce60081db23b3ebd20be19,aplatir,0.5,False,9,False,False,,4.879,invariant_viole,1454205727
20917a5d24ce60081db23b3ebd20be19,aplatir,0.5,True,9,False,True,0.500000,5.541,ok,1454205727
20917a5d24ce60081db23b3ebd20be19,aplatir,1.0,False,9,False,False,,5.241,invariant_viole,1407203551
20917a5d24ce60081db23b3ebd20be19,aplatir,1.0,True,9,False,True,1.000000,5.763,ok,1407203551
d91312751179196ba2cf9138bd79674e,deplacer,0.1,False,10,False,False,,5.908,invariant_viole,3925896679
d91312751179196ba2cf9138bd79674e,deplacer,0.1,True,10,False,True,0.100000,6.281,ok,3925896679
d91312751179196ba2cf9138bd79674e,deplacer,0.25,False,10,False,False,,5.547,invariant_viole,3276186858
d91312751179196ba2cf9138bd79674e,deplacer,0.25,True,10,False,True,0.250000,6.007,ok,3276186858
d91312751179196ba2cf9138bd79674e,deplacer,0.5,False,10,False,True,0.500000,6.306,ok,429057800
d91312751179196ba2cf9138bd79674e,deplacer,0.5,True,10,False,True,0.500000,6.249,ok,429057800
d91312751179196ba2cf9138bd79674e,deplacer,1.0,False,10,False,False,,5.501,invariant_viole,2096176631
d91312751179196ba2cf9138bd79674e,deplacer,1.0,True,10,False,False,,2.118,trame,2096176631
d91312751179196ba2cf9138bd79674e,elargir,0.1,False,10,False,False,,5.301,invariant_viole,4249133600
d91312751179196ba2cf9138bd79674e,elargir,0.1,True,10,False,True,0.100000,7.042,ok,4249133600
d91312751179196ba2cf9138bd79674e,elargir,0.25,False,10,False,False,,5.453,invariant_viole,4097342261
d91312751179196ba2cf9138bd79674e,elargir,0.25,True,10,False,True,0.250000,6.138,ok,4097342261
d91312751179196ba2cf9138bd79674e,elargir,0.5,False,10,False,False,,5.360,invariant_viole,2811581691
d91312751179196ba2cf9138bd79674e,elargir,0.5,True,10,False,True,0.500000,6.120,ok,2811581691
d91312751179196ba2cf9138bd79674e,elargir,1.0,False,10,False,True,1.000000,5.805,ok,1488590832
d91312751179196ba2cf9138bd79674e,elargir,1.0,True,10,False,True,1.000000,5.930,ok,1488590832
d91312751179196ba2cf9138bd79674e,retrecir,0.1,False,10,False,False,,7.463,invariant_viole,3214755803
d91312751179196ba2cf9138bd79674e,retrecir,0.1,True,10,False,True,0.100000,8.960,ok,3214755803
d91312751179196ba2cf9138bd79674e,retrecir,0.25,False,10,False,False,,5.823,invariant_viole,898216390
d91312751179196ba2cf9138bd79674e,retrecir,0.25,True,10,False,True,0.250000,7.108,ok,898216390
d91312751179196ba2cf9138bd79674e,retrecir,0.5,False,10,False,False,,6.749,invariant_viole,3682174481
d91312751179196ba2cf9138bd79674e,retrecir,0.5,True,10,False,True,0.500000,6.376,ok,3682174481
d91312751179196ba2cf9138bd79674e,retrecir,1.0,False,10,False,False,,6.371,invariant_viole,3083166364
d91312751179196ba2cf9138bd79674e,retrecir,1.0,True,10,False,True,1.000000,6.754,ok,3083166364
