plan_id,amplitude_m,pavage,valid_before,status,valid_after,seed,max_displacement_m
syn-0048,0.1,True,False,ok,True,17482,0.100000
syn-0048,0.25,False,False,InvariantViole,False,17485,
syn-0048,0.25,True,False,ok,True,17485,0.250000
syn-0048,0.5,False,False,ok,True,17490,0.500000
syn-0048,0.5,True,False,ok,True,17490,0.500000
syn-0049,0.1,False,False,ok,True,17492,0.100000
syn-0049,0.1,True,False,ok,True,17492,0.100000
syn-0049,0.25,False,False,InvariantViole,False,17495,
syn-0049,0.25,True,False,ok,True,17495,0.250000
syn-0049,0.5,False,False,ok,True,17500,0.500000
syn-0049,0.5,True,False,ok,True,17500,0.500000
syn-0050,0.1,False,False,InvariantViole,False,17502,
syn-0050,0.1,True,False,ok,True,17502,0.100000
syn-0050,0.25,False,False,ok,True,17505,0.250000
syn-0050,0.25,True,False,ok,True,17505,0.250000
syn-0050,0.5,False,False,InvariantViole,False,17510,
syn-0050,0.5,True,False,ok,True,17510,0.500000
syn-0051,0.1,False,False,ok,True,17512,0.100000
syn-0051,0.1,True,False,ok,True,17512,0.100000
syn-0051,0.25,False,False,ok,True,17515,0.250000
syn-0051,0.25,True,False,ok,True,17515,0.250000
syn-0051,0.5,False,False,ok,True,17520,0.500000
syn-0051,0.5,True,False,ok,True,17520,0.500000
syn-0052,0.1,False,False,InvariantViole,False,17522,
syn-0052,0.1,True,False,ok,True,17522,0.100000
syn-0052,0.25,False,False,InvariantViole,False,17525,
syn-0052,0.25,True,False,ok,True,17525,0.250000
syn-0052,0.5,False,False,InvariantViole,False,17530,
syn-0052,0.5,True,False,ok,True,17530,0.500000
syn-0053,0.1,False,False,InvariantViole,False,17532,
syn-0053,0.1,True,False,ok,True,17532,0.100000
syn-0053,0.25,False,False,InvariantViole,False,17535,
syn-0053,0.25,True,False,ok,True,17535,0.250000
syn-0053,0.5,False,False,ok,True,17540,0.500000
syn-0053,0.5,True,False,ok,True,17540,0.500000
syn-0054,0.1,False,False,InvariantViole,False,17542,
syn-0054,0.1,True,False,ok,True,17542,0.100000
syn-0054,0.25,False,False,InvariantViole,False,17545,
syn-0054,0.25,True,False,ok,True,17545,0.250000
syn-0054,0.5,False,False,ok,True,17550,0.500000
syn-0054,0.5,True,False,ok,True,17550,0.500000
syn-0055,0.1,False,False,ok,True,17552,0.100000
syn-0055,0.1,True,False,ok,True,17552,0.100000
syn-0055,0.25,False,False,ok,True,17555,0.250000
syn-0055,0.25,True,False,ok,True,17555,0.250000
syn-0055,0.5,False,False,InvariantViole,False,17560,
syn-0055,0.5,True,False,ok,True,17560,0.500000
syn-0056,0.1,False,False,ok,True,17562,0.100000
syn-0056,0.1,True,False,ok,True,17562,0.100000
syn-0056,0.25,False,False,InvariantViole,False,17565,
syn-0056,0.25,True,False,ok,True,17565,0.250000
syn-0056,0.5,False,False,InvariantViole,False,17570,
syn-0056,0.5,True,False,ok,True,17570,0.500000
syn-0057,0.1,False,False,InvariantViole,False,17572,
syn-0057,0.1,True,False,ok,True,17572,0.100000
syn-0057,0.25,False,False,InvariantViole,False,17575,
syn-0057,0.25,True,False,ok,True,17575,0.250000
syn-0057,0.5,False,False,ok,True,17580,0.500000
syn-0057,0.5,True,False,ok,True,17580,0.500000
syn-0058,0.1,False,False,InvariantViole,False,17582,
syn-0058,0.1,True,False,ok,True,17582,0.100000
syn-0058,0.25,False,False,InvariantViole,False,17585,
syn-0058,0.25,True,False,ok,True,17585,0.250000
syn-0058,0.5,False,False,ok,True,17590,0.500000
syn-0058,0.5,True,False,ok,True,17590,0.500000
syn-0059,0.1,False,False,ok,True,17592,0.100000
syn-0059,0.1,True,False,ok,True,17592,0.100000
syn-0059,0.25,False,False,InvariantViole,False,17595,
syn-0059,0.25,True,False,ok,True,17595,0.250000
syn-0059,0.5,False,False,InvariantViole,False,17600,
syn-0059,0.5,True,False,ok,True,17600,0.500000
syn-0060,0.1,False,False,InvariantViole,False,17602,
syn-0060,0.1,True,False,ok,True,17602,0.100000
syn-0060,0.25,False,False,InvariantViole,False,17605,
syn-0060,0.25,True,False,ok,True,17605,0.250000
syn-0060,0.5,False,False,ok,True,17610,0.500000
syn-0060,0.5,True,False,ok,True,17610,0.500000
syn-0061,0.1,False,False,ok,True,17612,0.100000
syn-0061,0.1,True,False,ok,True,17612,0.100000
syn-0061,0.25,False,False,ok,True,17615,0.250000
syn-0061,0.25,True,False,ok,True,17615,0.250000
syn-0061,0.5,False,False,InvariantViole,False,17620,
syn-0061,0.5,True,False,ok,True,17620,0.500000
syn-0062,0.1,False,False,InvariantViole,False,17622,
syn-0062,0.1,True,False,ok,True,17622,0.100000
syn-0062,0.25,False,False,InvariantViole,False,17625,
syn-0062,0.25,True,False,ok,True,17625,0.250000
syn-0062,0.5,False,False,InvariantViole,False,17630,
syn-0062,0.5,True,False,ok,True,17630,0.500000
syn-0063,0.1,False,False,InvariantViole,False,17632,
syn-0063,0.1,True,False,ok,True,17632,0.100000
syn-0063,0.25,False,False,InvariantViole,False,17635,
syn-0063,0.25,True,False,ok,True,17635,0.250000
